"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Maintaining Data Integrity in Fog Computing Based Critical Infrastructure Systems","A. Alazeb; B. Panda","Dept. of Computer Science and Computer Engineering, University of Arkansas, Fayetteville, AR, USA; Dept. of Computer Science and Computer Engineering, University of Arkansas, Fayetteville, AR, USA","2019 International Conference on Computational Science and Computational Intelligence (CSCI)","20 Apr 2020","2019","","","40","47","The evolution of the utilization of technologies in nearly all aspects of life has produced an enormous amount of data essential in a smart city. Therefore, maximizing the benefits of technologies such as cloud computing, fog computing, and the Internet of things is important to manage and manipulate data in smart cities. However, certain types of data are sensitive and risky and may be infiltrated by malicious attacks. As a result, such data may be corrupted, thereby causing concern. The damage inflicted by an attacker on a set of data can spread through an entire database. Valid transactions that have read corrupted data can update other data items based on the values read. In this study, we introduce a unique model that uses fog computing in smart cities to manage utility service companies and consumer data. We also propose a novel technique to assess damage to data caused by an attack. Thus, original data can be recovered, and a database can be returned to its consistent state as no attacking has occurred.","","978-1-7281-5584-5","10.1109/CSCI49370.2019.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9070917","Fog Databases, Malicious Transactions, Affected Transactions, Data Integrity","Edge computing;Cloud computing;Smart cities;Databases;Data models;Computer architecture;Computational modeling","critical infrastructures;data integrity;distributed processing;public utilities;security of data;smart cities","data integrity;critical infrastructure systems;smart city;cloud computing;malicious attacks;corrupted data;data items;utility service companies;consumer data;fog computing;utility service company management;consumer data management","","7","","16","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"Preserving Data Management Security through Fog to Cloud Computing","P. M; S. K","Amrita Vishwa Vidyapeetham Department of Compter Science, Amrita School of Arts and Sciences, Mysore, India; Amrita Vishwa Vidyapeetham Department of Compter Science, Amrita School of Arts and Sciences, Mysore, India","2022 4th International Conference on Inventive Research in Computing Applications (ICIRCA)","29 Dec 2022","2022","","","1495","1500","Organizations like Amazon, Netflix, eBay, and Gameloft are forced to use cloud computing due to a lack of storage space. Flexibility, scalability, multi-portability, and elasticity are all advantages of cloud computing. Despite the fact that attempts have been made to improve cloud security, it still contains flaws like security and data availability that prevent individuals from using it. The term “fog computing” denotes to the extension of cloud computing with respect to network's edge. Fog computing expands storage in cloud computing, networking, and processing capabilities. Data access security is improving day by day, despite the fact that data is kept remotely. The volume of data is likewise growing by the day. Data secrecy is maintained by securing data utilizing multiple behaviour parameters. The technique of encrypting and modifying messages in order to build data securely and to protect from attacks is known as cryptology (secret writing). NIST recommends AES as a symmetric encryption standard. AES has been shown to be a very secure, quick, and powerful encryption method. AES is widely utilized due to its high level of competency and ease of use. This paper introduce a system that will provide capabilities such as automatic text encryption and decryption. For this, the AES -256 bit method is utilized. AES is used for encryption and decryption, in the proposed system it can encrypt both textual data and IoT sensor data collected from different sensors and decryption can be done with an secret key.","","978-1-6654-9707-7","10.1109/ICIRCA54612.2022.9985727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985727","Fog nodes;cloud;Data Encryption Standards;Advanced Encryption System;Cryptography;Internet Of Things;Triple Data Encryption Standards","Scalability;Cloud computing security;Organizations;Writing;NIST;Elasticity;Encryption","cloud computing;computer crime;Internet of Things;private key cryptography;storage management;text analysis","AES;automatic text decryption;automatic text encryption;cloud computing;cloud security;cryptology;data access security;data availability;data management security preservation;data secrecy;fog computing;IoT sensor data;networking;NIST;secret key;secret writing;storage space;symmetric encryption standard;textual data","","","","29","IEEE","29 Dec 2022","","","IEEE","IEEE Conferences"
"Privacy-Preserving Deduplication of Sensor Compressed Data in Distributed Fog Computing","C. Zhang; Y. Miao; Q. Xie; Y. Guo; H. Du; X. Jia","Department of Computer Science, City University of Hong Kong, Hong Kong, China; School of Cyber Engineering, Xidian University, Xi'an, China; Center for Computer Science and Information Technology, City University of Hong Kong, Hong Kong; School of Artificial Intelligence, Beijing Normal University, Beijing, China; Department of Computer Science and Technology, Harbin Institute of Technology Shenzhen, Shenzhen, China; Department of Computer Science, City University of Hong Kong, Hong Kong, China","IEEE Transactions on Parallel and Distributed Systems","22 Aug 2022","2022","33","12","4176","4191","Distributed fog computing has received wide attention recently. It enables distributed computing and data management on the network nodes within the close vicinity of IoT devices. An important service of fog-cloud based systems is data deduplication. With the increasing concern of privacy, some privacy-preserving data deduplication schemes have been proposed. However, they cannot support lossless deduplication of encrypted similar data in the fog-cloud network. Meanwhile, no existing design can protect message equality information while resisting brute-force and frequency analysis attacks. In this paper, we propose a privacy-preserving and compression-based data deduplication system under the fog-cloud network, which supports lossless deduplication of similar data in the encrypted domain. Specifically, we first use the generalized deduplication technique and cryptographic primitives to implement secure deduplication over similar data. Then, we devise a two-level deduplication protocol that can perform secure and efficient deduplication at distributed fog nodes and the cloud. The proposed system can not only resist brute-force and frequency analysis attacks but also ensure that only the data operator can capture the message equality information. We formally analyze the security of our design. Performance evaluations demonstrate that our proposed design is efficient in computing, storage, and communication.","1558-2183","","10.1109/TPDS.2022.3179992","Research Grants Council of Hong Kong(grant numbers:CityU 11213920); National Natural Science Foundation of China(grant numbers:62102035,62072361,62172124); Fundamental Research Funds for the Central Universities(grant numbers:2020NTST32); Shenzhen Basic Research Program(grant numbers:JCYJ20190806143011274); Shenzhen Colleges and Universities Stable Support Program(grant numbers:GXWD20201230155427003-20200822080602001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9787776","Brute-force attacks;fog-cloud network;frequency analysis;message equality information;similar data deduplication","Cloud computing;Cryptography;Sensors;Internet of Things;Data models;Costs;Computer science","cloud computing;cryptography;data compression;data privacy;Internet of Things;security of data;storage management","privacy-preserving deduplication;sensor compressed data;distributed fog computing;data management;network nodes;fog-cloud based systems;privacy-preserving data deduplication schemes;lossless deduplication;encrypted similar data;fog-cloud network;message equality information;brute-force;frequency analysis attacks;data deduplication system;generalized deduplication technique;secure deduplication;two-level deduplication protocol;efficient deduplication;distributed fog nodes;data operator","","1","","55","IEEE","3 Jun 2022","","","IEEE","IEEE Journals"
"A smart fog-to-cloud system in airport: challenges and lessons learnt","A. Salis; J. Jensen","Telco & Media Division, Engineering Sardegna Srl, Cagliari, Italy; STFC RAL, UK Research and Innovation, Didcot, United Kingdom","2020 21st IEEE International Conference on Mobile Data Management (MDM)","7 Aug 2020","2020","","","359","364","Airports are one relevant environment in the smart cities implementation. Recent progresses in IoT have made it possible to develop advanced real-time services and assistance tools for travelers, making use of fog computing as an architectural model that places itself between the Cloud and the IoT, in the Cloud-to-Things Continuum, fulfilling requirements for strict real-time responses. The main tool exploits the concept of proximity marketing and covers the essential experience through the airport onto the flight, but also allows travelers to spend their waiting time by discovering the facilities of the airport, supported by a recommendation system using machine learning. The system provides also the airport planners an aggregated and anonymized view, like heat maps, of travelers behavior that highlight bottlenecks in the infrastructure, or highlight situations that require intervention, such as emergencies. The app in based on Android and makes use of the fog-to-cloud platform developed by the Horizon2020-funded mF2C project, giving evidence that the adoption of the fog-to-cloud approach brings significant benefits in terms of performance and optimization of resource usage, giving an objective evidence of the impact of the mF2C framework.","2375-0324","978-1-7281-4663-8","10.1109/MDM48529.2020.00078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9162292","Cloud computing;fog computing;fog-to-cloud;distributed systems;IoT;machine learning;proximity marketing","Airports;Edge computing;Cloud computing;Computer architecture;Security;Real-time systems;Androids","airports;Android (operating system);cloud computing;Internet of Things;learning (artificial intelligence);mobile computing;public administration;real-time systems;recommender systems;smart cities;travel industry","smart fog-to-cloud system;smart cities;IoT;real time services;fog computing;cloud-to-things continuum;recommendation system;airport;machine learning;Android app;traveler assistance tools","","1","","16","IEEE","7 Aug 2020","","","IEEE","IEEE Conferences"
"F2MC: Enhancing Data Storage Services with Fog-toMultiCloud Hybrid Computing","Y. Fu; X. Qiu; J. Wang","College of Command and Control Engineering, Army Engineering University, Nanjing, China; College of Command and Control Engineering, Army Engineering University, Nanjing, China; School of Electronic Science and Engineering, Nanjing University, Nanjing, China","2019 IEEE 38th International Performance Computing and Communications Conference (IPCCC)","16 Jan 2020","2019","","","1","6","Public cloud storage can provide customers with unlimited capacity and built-in disaster recovery by exploiting IT resources in data center but suffers high latency and security risk. The emergency of fog computing can mitigate data security risk by leveraging local private server with low latency. We introduce F2MC: a Fog-to-MultiCloud hybrid storage service that combines local fog computing with remote cloud computing to enhance the quality of service (QoS) of data management. It provides an application aware data reduction scheme to improve the data traffic and space efficiency of cloud storage by exploiting deduplication and compression. Then, it further enhances the resiliency and security of cloud storage by striping encrypted data across multiple cloud vendors with a secure fault-tolerant coding. Compared with the state-of-the-art of multicloud storage systems, our experiments demonstrate that F2MC can achieve the highest performance with the same fault-tolerance capability, and a competitive low cloud cost due to its low cloud storage space overheads.","2374-9628","978-1-7281-1025-7","10.1109/IPCCC47392.2019.8958748","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8958748","multiple cloud storage;fog computing;application awareness;data reduction;erasure coding;encryption","","cloud computing;cryptography;data reduction;quality of service;storage management","F2MC;data storage services;public cloud storage;data center;data security risk;local private server;local fog computing;data management;application aware data reduction scheme;data traffic;space efficiency;encrypted data;multiple cloud vendors;secure fault-tolerant coding;multicloud storage systems;cloud storage space overheads;fog-to-multicloud hybrid storage service","","5","","20","IEEE","16 Jan 2020","","","IEEE","IEEE Conferences"
"Towards Predictive Replica Placement for Distributed Data Stores in Fog Environments","T. Pfandzelter; D. Bermbach",Technische Universität Berlin & Einstein Center Digital Future Mobile Cloud Computing Research Group; Technische Universität Berlin & Einstein Center Digital Future Mobile Cloud Computing Research Group,"2021 IEEE International Conference on Cloud Engineering (IC2E)","22 Nov 2021","2021","","","280","281","Mobile clients that consume and produce data are abundant in fog environments. Low latency access to this data can only be achieved by storing it in close physical proximity to the clients. Current data store systems fall short as they do not replicate data based on client movement. We propose an approach to predictive replica placement that autonomously and proactively replicates data close to likely client locations.","","978-1-6654-4970-0","10.1109/IC2E52221.2021.00047","Deutsche Forschungsgemeinschaft(grant numbers:415899119); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9610278","Fog Computing;Data Management;Replication Service","Conferences;Distributed databases;Low latency communication","cache storage;mobile computing;replicated databases","distributed data stores;fog environments;mobile clients;low latency access;close physical proximity;client movement;client locations;predictive replica placement","","","","10","IEEE","22 Nov 2021","","","IEEE","IEEE Conferences"
"Multi-Layer Stream Orchestration with Flange","J. Musser; E. Kissel; G. Skipper; M. Swany","School of Informatics Computing and Engineering, Indiana Univserity, Bloomington, Indiana; School of Informatics Computing and Engineering, Indiana Univserity, Bloomington, Indiana; School of Informatics Computing and Engineering, Indiana Univserity, Bloomington, Indiana; School of Informatics Computing and Engineering, Indiana Univserity, Bloomington, Indiana","2019 IEEE International Conference on Fog Computing (ICFC)","2 Sep 2019","2019","","","115","123","With advances in embedded sensor hardware and the resulting deluge of measurement data, it has become increasingly clear that corresponding advances in data management are necessary at every level of the data pipeline to keep pace with the copious output of sensors at the edge. Filtering and processing data in-flight from edge to core presents an attractive possibility. By using resources within the network fabric itself, data can be reduced to a manageable level before reaching the core. Such drastic changes in data processing methodology do present new challenges and exacerbate old ones. Manual configuration and optimization at the fog scale is error prone. This paper discusses the Flange DSL and our in-flight processing framework InLocus, as a solution for driving fog configuration and management with declarative network topology assertions. By distributing configurable processing agents within the network fabric and modeling the network as a graph, the Flange compiler is capable of resolving terse, general flow assertions into network configurations at the device level. By chaining many such network functions together, the network topology can be transformed into a single virtual computation unit. Unlike previous approaches, the processing overlay topology is compiled automatically from the requirements of the task and the state of the underlying network. Each hop in the network provides an opportunity to operate on the data as it passes through, resulting in transformed data at the destination. The Flange language provides a propositional-logic based structure for selecting network components and asserting desired properties onto them. By using flow predicates, a program may define arbitrarily long chains of operations which are compiled into instructions to network agents that enact real behaviors on the network. The Flange compiler itself performs on moderately sized network graphs; compiling optimal placement schemes in under half a minute for graphs below 2,000 vertices when a solution exists. This performance scales to graphs in excess of 10,000 vertices, resolving in just over 3 minutes. The realization phase demonstrates faster performance; routing and computation results can be observed in the network in as little as one second over representative wide-area topologies. The fast iteration cycle provides developers with the ability to quickly identify processing or network issues in development or deployment.","","978-1-7281-3236-5","10.1109/ICFC.2019.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822006","Network Management;Network topology;Sensor networks;Graphs and networks;Compilers","Flanges;Computational modeling;Network topology;Cloud computing;Edge computing;Computer architecture;Internet of Things","cloud computing;computational complexity;graph theory;optimisation;program compilers;program verification;telecommunication network topology","data management;data pipeline;core presents;attractive possibility;network fabric;data processing methodology;optimization;fog scale;Flange DSL;in-flight processing framework InLocus;fog configuration;declarative network topology assertions;configurable processing agents;Flange compiler;general flow assertions;network configurations;device level;network functions;single virtual computation unit;transformed data;Flange language;network components;asserting desired properties;network agents;moderately sized network graphs;compiling optimal placement schemes;computation results;wide-area topologies;network issues;multilayer stream orchestration;embedded sensor hardware;resulting deluge;measurement data","","2","","16","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Privacy-Preserving Traffic Monitoring with False Report Filtering via Fog-Assisted Vehicular Crowdsensing","M. Li; L. Zhu; X. Lin","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science, University of Guelph, Guelph, ON, Canada","IEEE Transactions on Services Computing","8 Dec 2021","2021","14","6","1902","1913","Traffic monitoring system empowers cloud server and drivers to collect real-time driving information and acquire traffic conditions. However, drivers are more interested in local traffic, and sending driving reports to a faraway cloud server wastes a lot of bandwidth and incurs a long response delay. Recently, fog computing is introduced to provide location-sensitive and latency-aware local data management in vehicular crowdsensing, but it incurs new privacy concerns since drivers’ information could be disclosed. Although these messages are encrypted before transmission, malicious drivers can upload false reports to sabotage the systems, and filtering out false encrypted reports remains a challenging issue. To address the problems, we define a new security model and propose a privacy preserving traffic monitoring scheme. Specifically, we utilize short group signature to authenticate drivers in a conditionally anonymous way, adopt a range query technique to acquire driving information in a privacy-preserving way, and integrate it to the construction of a weighted proximity graph at each fog node through a WiFi challenge handshake to filter out false reports. Moreover, we use variant Bloom filters to achieve fast traffic conditions storage and retrieval. Finally, we prove security and privacy, evaluate performance with real-world cloud servers.","1939-1374","","10.1109/TSC.2019.2903060","National Key Research and Development Program of China(grant numbers:2016YFB0800301); National Natural Science Foundation of China(grant numbers:61872041,61871037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8658122","Traffic monitoring;vehicular crowdsensing;fog computing;security and privacy;false report filtering","Telecommunication traffic;Servers;Edge computing;Privacy;Real-time systems;Cryptography;Crowdsensing;Fake news","cloud computing;cryptography;data privacy;data structures;file servers;intelligent transportation systems;mobile computing;query processing;sensor fusion;traffic engineering computing","privacy-preserving traffic monitoring;false report filtering;fog-assisted vehicular crowdsensing;traffic monitoring system;real-time driving information;cloud server;fog computing;data management;traffic conditions;Bloom filters;range query technique","","40","","53","IEEE","3 Mar 2019","","","IEEE","IEEE Journals"
"A Secure Data Sharing Based on Key Aggregate Searchable Encryption in Fog-Enabled IoT Environment","J. Oh; J. Lee; M. Kim; Y. Park; K. Park; S. Noh","School of Electronic and Electrical Engineering, Kyungpook National University, Daegu, Republic of Korea; School of Electronic and Electrical Engineering, Kyungpook National University, Daegu, Republic of Korea; School of Electronic and Electrical Engineering, Kyungpook National University, Daegu, Republic of Korea; School of Electronic and Electrical Engineering, Kyungpook National University, Daegu, Republic of Korea; Blockchain Research Section, Electronics and Telecommunications Research Institute, Daejeon, Republic of Korea; Blockchain Research Section, Electronics and Telecommunications Research Institute, Daejeon, Republic of Korea","IEEE Transactions on Network Science and Engineering","31 Oct 2022","2022","9","6","4468","4481","Cloud server and fog computing have been utilized to manage enormous volumes of data with low service transmission time in Internet of Things (IoT) environment. However, untrustworthy relationships between network entities and cloud server cause a lot of security concerns. Many researches have been studied based on traditional cryptosystems for data sharing systems. But they lead to key management difficulty and do not ensure the data owner's authority by depending on Trusted Third Party (TTP). Therefore, we use key aggregate searchable encryption (KASE), which enables owners to exercise their rights in data management and sharing without the help of TTP and resolves the key management problem. In this paper, we propose a secure data sharing system based on KASE in fog-enabled IoT environment using blockchain. We prove the resistance of the proposed scheme against various attacks through informal analysis and Automated Validation of Internet Security Protocols and Applications (AVISPA) simulation tool. We prove the guarantee of secure mutual authentcation using Burrows-Abadi-Needham (BAN) logic. Furthermore, we compare security features and performance of the proposed scheme with existing schemes through Multiprecision Integer and Rational Arithmetic Cryptographic Library (MIRACL).","2327-4697","","10.1109/TNSE.2022.3204991","Electronics and Telecommunications Research Institute(grant numbers:22ZR1330); Core Technology Research on Trust Data Connectome; Ministry of Education, Korea(grant numbers:4199990113966); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9881907","Data sharing;KASE;fog computing;Internet of Things;blockchain","Servers;Cloud computing;Internet of Things;Blockchains;Peer-to-peer computing;Edge computing;Information sharing;Search methods","authorisation;cloud computing;cryptographic protocols;cryptography;Internet;Internet of Things;peer-to-peer computing;protocols;public key cryptography;security of data;telecommunication security","cloud server cause;data management;data owner;enormous volumes;fog computing;fog-enabled IoT environment;Internet Security Protocols;KASE;key aggregate searchable encryption;key management difficulty;key management problem;low service transmission time;secure data sharing;secure mutual authentcation;security concerns;security features;Things environment;TTP","","4","","50","IEEE","8 Sep 2022","","","IEEE","IEEE Journals"
"Fog-Enabled Industrial WSNs to Monitor Asynchronous Electric Motors","Z. Benomar; G. Campobello; F. Longo; G. Merlino; A. Puliafito","Dipartimento di Ingegneria, Università di Messina, Italy; Dipartimento di Ingegneria, Università di Messina, Italy; Dipartimento di Ingegneria, Università di Messina, Italy; Dipartimento di Ingegneria, Università di Messina, Italy; Dipartimento di Ingegneria, Università di Messina, Italy","2020 IEEE International Conference on Smart Computing (SMARTCOMP)","6 Nov 2020","2020","","","434","439","Recently, Industrial Wireless Sensor Networks (IWSN) have gained a lot of interest from both research and industry communities as an evolution of WSN specifically tailored for Industry 4.0 applications and their requirements. Thanks to the set of benefits IWSN technology introduces, it is considered to be a sustainable solution for industrial system monitoring. Yet, this approach has several drawbacks stemming from the limited resources (i.e., compute and storage) available on-board network devices. Although Cloud-based WSN data management solutions are widely adopted, issues related to this approach persist (e.g., high latency, bandwidth consumption, storage costs). This paper introduces an innovative platform enhancing IWSN architectures by adding a processing layer at the network edge: an approach that follows the Fog Computing paradigm. Remote management and programmability of the Fog layer are only some of the most challenging requirements. We show how our approach is suitable for industrial scenarios by applying it to a representative use case, i.e., the monitoring of asynchronous electric motors.","","978-1-7281-6997-2","10.1109/SMARTCOMP50058.2020.00090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239626","Fog computing;Cloud computing;IWSN;Open-Stack;Monitoring;Induction motors","Industries;Wireless sensor networks;Conferences;Computer architecture;Monitoring;Electric motors;Edge computing","computerised monitoring;distributed processing;induction motors;production engineering computing;wireless sensor networks","fog-enabled industrial WSN;industrial scenarios;Fog layer;Fog Computing paradigm;network edge;IWSN architectures;storage costs;bandwidth consumption;Cloud-based WSN data management solutions;on-board network devices;industrial system monitoring;sustainable solution;WSN specifically tailored;industry communities;industrial wireless sensor networks;asynchronous electric motors","","3","","28","IEEE","6 Nov 2020","","","IEEE","IEEE Conferences"
"A Fog-Based Architecture for Latency-Sensitive Monitoring Applications in Industrial Internet of Things","Z. Benomar; G. Campobello; A. Segreto; F. Battaglia; F. Longo; G. Merlino; A. Puliafito","Department of Engineering, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Messina, Italy; Department of Engineering, University of Messina, Messina, Italy","IEEE Internet of Things Journal","23 Jan 2023","2023","10","3","1908","1918","In industrial wireless sensors networks (IWSNs) deployments, data management and processing tasks are often delegated to centralized computing facilities. Albeit providing an abundance of resources, these solutions impose several drawbacks, stemming from the higher latency they may introduce, as well as from security/privacy issues. To deal with these shortcomings, in this article, we propose an architecture designed for industrial monitoring duties, based on the Fog computing paradigm. In particular, we devised a Fog layer to host a data aggregation algorithm based on singular value decomposition (SVD). Considering a real-world case study about a distributed monitoring system for industrial motors, the benefits of the proposed solution in terms of network performances, i.e., latency and packet delivery ratio, are analyzed using the OMNET++ simulator. Besides, the system implements a set of security mechanisms at different levels (i.e., IWSN, Fog, and Cloud). In particular, we propose a new lightweight and energy-efficient ciphering algorithm for resource-constrained industrial motes. According to our experiments, the new algorithm reduces energy consumption by a factor of three compared to Advanced Encryption Standard-128.","2327-4662","","10.1109/JIOT.2021.3138691","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9663213","Block ciphering;cloud computing;fog computing;Industrial Internet of Things (IIoT);industrial wireless sensors network (IWSN);Internet of Things (IoT)","Sensors;Wireless sensor networks;Monitoring;Cloud computing;Computer architecture;Protocols;Temperature measurement","cryptography;data aggregation;data privacy;energy consumption;Internet of Things;singular value decomposition;telecommunication network reliability;wireless sensor networks","centralized computing facilities;data aggregation algorithm;data management;distributed monitoring system;Fog computing paradigm;Fog layer;Fog-based architecture;higher latency;industrial monitoring duties;industrial motors;industrial wireless sensors networks deployments;IWSN;latency-sensitive monitoring applications;network performances;packet delivery ratio;real-world case study;resource-constrained industrial motes;security mechanisms;singular value decomposition","","1","","42","IEEE","27 Dec 2021","","","IEEE","IEEE Journals"
"A Fog-Based Recommender System","X. Wang; B. Gu; Y. Ren; W. Ye; S. Yu; Y. Xiang; L. Gao","School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Science, Computer Science and IT, RMIT University, Melbourne, Australia; Global Business College of Australia, Melbourne, Australia; School of Software, University of Technology Sydney, Ultimo, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia","IEEE Internet of Things Journal","11 Feb 2020","2020","7","2","1048","1060","Fog computing is an emergent computing paradigm that extends the cloud paradigm. With the explosive growth of smart devices and mobile users, cloud computing no longer matches the requirements of the Internet of Things (IoT) era. Fog computing is a promising solution to satisfying these new requirements, such as low latency, uninterrupted service, and location awareness. As a typical new computing paradigm and network architecture, fog computing raises new challenges, such as privacy, data management, data analytics, information overload, and participatory sensing. In this article, we present a fog-based hybrid recommender system to address the issue of information overload in fog computing. Our proposed system not only abstracts useful information from the fog environment but can also be considered as an optimization tool due to its ability to provide suggestions to improve system performance. In particular, we demonstrate that the proposed system provides personalized and localized recommendations to users, and also advise the system itself to precache the content to optimize the storage capacity of the fog server.","2327-4662","","10.1109/JIOT.2019.2949029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8882279","Fog computing;location awareness;real-time process;recommender system","Cloud computing;Edge computing;Recommender systems;Servers;Computational modeling;Internet of Things","cloud computing;data privacy;Internet of Things;mobile computing;recommender systems","fog computing;emergent computing paradigm;cloud paradigm;network architecture;information overload;fog-based hybrid recommender system;fog server","","14","","67","IEEE","24 Oct 2019","","","IEEE","IEEE Journals"
"Secure Management of Healthcare Data in Fog and IoT Networks: A Short Survey on Existing Security Protocols","A. Tina Victoria; M. Kowsigan","Department of Computing Technologies, College of Engineering Technology SRM Institute of Science and Technology Kattankulathur, chengalpattu, Tamil Nadu, India; Department of Computing Technologies, College of Engineering Technology SRM Institute of Science and Technology Kattankulathur, chengalpattu, Tamil Nadu, India","2022 3rd International Conference on Smart Electronics and Communication (ICOSEC)","22 Nov 2022","2022","","","512","518","In recent years, multi-media data regarding various applications have emerged exponentially over the Internet of Things (IoT). Generally, these gathered data are fed to the cloud for storage and further processing. The fog layer is incorporated here which acts like a bridge and performs communication between the cloud and IoT devices. This fog-derived IoT network offers services by effectively analyzing and computing information gathered by IoT devices with the help of sensors. Though, it has two major challenges energy and security. Further, fog computing aims to minimize the overhead of cloud computing to provide network services to satisfy secure data transmission. Nowadays, various security protocols have been suggested to overcome the security challenges in the existing fog-driven IoT models. Moreover, among various applications, the healthcare application requires an efficient data management strategy with maximum security, and thus, this paper aims to study the various research works on healthcare data management in Fog and IoT networks with different authentication protocols. The existing research works on Foga-ssisted healthcare data management systems in IoT are categorized for guiding the upcoming researchers in this field. Moreover, this review discusses different authentication protocols, performance metrics analyzed for validation and diverse tools used for implementation. To conclude, the research challenges and gaps in the field of healthcare data management in fog and IoT networks are studied. This analysis further substantiates the requirement for a coherent technique for healthcare applications in fog computing.","","978-1-6654-9764-0","10.1109/ICOSEC54921.2022.9952038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9952038","Secure Management;Healthcare Data;FoG and Internet of Things Networks;Existing Security Protocols;Performance measures;Simulation Tools;Research Challenges and Gaps","Performance evaluation;Cloud computing;Patient monitoring;Protocols;Authentication;Medical services;Sensor systems","cloud computing;computer network management;computer network security;cryptographic protocols;health care;Internet of Things","authentication protocols;cloud computing;fog assisted healthcare data management systems;fog computing;fog layer;fog-derived IoT network;fog-driven IoT models;Internet of Things;IoT devices;multimedia data;network services;secure data transmission;secure management;security protocols","","","","37","IEEE","22 Nov 2022","","","IEEE","IEEE Conferences"
"A New Layered Architecture for Future Big Data-Driven Smart Homes","G. Mokhtari; A. Anvari-Moghaddam; Q. Zhang","The Australian e -Health Research Centre, Brisbane, QLD, Australia; Department of Energy Technology, Aalborg University, Aalborg, Denmark; The Australian e -Health Research Centre, Brisbane, QLD, Australia","IEEE Access","17 Feb 2019","2019","7","","19002","19012","In this paper, a new layered architecture is proposed for big data-driven processing and management of future smart homes. The proposed Representational State Transfer (REST)-based architecture includes seven layers: physical, fog-computing, network, cloud-computing, service, session, and application for efficient data exchange and processing tasks of future smart homes. The smart home physical layer includes all the sensing technologies and smart devices within the smart home, which monitors the home environment and its residents. The data of these sensors will be sent to the smart home fog-computing layer that can do limited data storage and processing. Then, all the required data will be sent to the cloud-computing layer using smart home network layer. The cloud-computing layer provides the scalable solution for data processing and storage. The processed data in the cloud-computing layer will be provided as the data-driven services to different smart home and third-party (e.g., smart city) applications via smart home service layer. Based on the proposed architecture, the applications will utilize the session layer and RESTFUL APIs to use the data-driven services of the smart home. The proposed smart home architecture can provide a ubiquitous and shared data environment as the key aspect of Internet-of-Things systems.","2169-3536","","10.1109/ACCESS.2019.2896403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8629861","Big data management;Internet of Things;smart home;layered architecture;data-driven services","Smart homes;Computer architecture;Intelligent sensors;Monitoring;Big Data;Cloud computing","application program interfaces;Big Data;cloud computing;home automation;smart cities;software architecture;ubiquitous computing","smart home physical layer;cloud-computing layer;smart home network layer;smart city;ubiquitous shared data environment;fog-computing layer;representational state transfer-based architecture;big data-driven smart homes;REST-based architecture;RESTFUL API","","42","","34","OAPA","30 Jan 2019","","","IEEE","IEEE Journals"
